id,created,updated,title,content,tags,product,topic,locale,answers,creator
1287616,2020-05-20 08:59:13 -0800,2020-05-20T09:48:14Z,mozilla,<p>support browser </p>,privacy-and-security_1;desktop;,firefox,privacy-and-security,en-US,1314302;,psukalisno
1287615,2020-05-20 08:55:07 -0800,2020-05-20T09:59:41Z,Jafet Palma,"<p>Recibi email del Sr. Jafet Palma ( de la Comunidad Mozilla) preguntandome si mi problema era en una sola pagina web o no, la respuesta es  en todas las paginas web que tengan videos (cuando cliqueo para verlos, lel espacio se pone en blanco y no hay ninguna explicacion. </p><p><em>duplicate. continue here: <a href=""https://support.mozilla.org/en-US/questions/1287332"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1287332</a></em> </p>",other;desktop;firefox-760;windows-10;,firefox,other,es,1314312;,jgiraldos4
1287614,2020-05-20 08:45:36 -0800,2020-05-20T10:04:41Z,Web link will not open but works in all other types of browsers,"<p>The following weblink will not open in firefox but will open in chrome, IE, Opra, even opens in firefox on mobile. It just times out from computer </p>",websites;desktop;firefox-760;windows-10;,firefox,websites,en-US,1314290;1314317;,psalvo
1287612,2020-05-20 08:23:15 -0800,2020-05-20T08:23:15Z,Maximized windows slightly too large in dual monitor setup,"<p>I use my monitors in a vertical set up, one on top of the other.  When I have a firefox window maximized on the bottom screen, the top of the window extends too far and ends up covering the top screen by 8 pixels.  I've tried renaming xulstore.json, and while that does work, it ends up being too large again by the end of the session.  I'm not sure what else I can do.  Thanks in advance! </p>",customize;desktop;firefox-760;windows-10;,firefox,customize,en-US,"",g00gly0eyes
1287611,2020-05-20 08:14:41 -0800,2020-05-20T08:14:41Z,Mozilla firefox - cut music,"<p>Hi, there is music cropping in foobar when you try to refresh the bookmark in firefox. </p>","",firefox,fix-problems,en-US,"",paul800618
1287610,2020-05-20 08:06:48 -0800,2020-05-20T17:22:27Z,Firefox crash not submitted,"<p>Firefox crashed and displayed the crash dialog. </p><p>There the ""submit"" option was selected (it is selected by default, it seems) and I clicked QUIT. Then it showed ""submitting report..."" and then closed after a few seconds. </p><p>Then I restarted Firefox and opened about:crashes. </p><p>There the recent crash was listed under ""Unsubmitted Crash Reports"". </p><p>So it seems either: </p><pre>- it was not submitted (bug in the crash submit dialog, it said it is submitting but failed) - or it was submittted (bug in about:crashes, where it claims it wasn't) </pre> <p>I submitted the crash manually , see ID bp-7a2c87cc-4834-4f85-8858-b3ec00200520 </p>",fix-problems;desktop;firefox-760;windows-10;,firefox,fix-problems,en-US,1314320;1314321;1314425;1314458;,xerces9
1287609,2020-05-20 07:57:49 -0800,2020-05-20T10:13:57Z,i submit,<p><strong>bold text</strong> </p>,websites;desktop;,firefox,websites,en-US,1314322;,kangujamsadananda.5
1287608,2020-05-20 07:52:31 -0800,2020-05-20T10:06:23Z,Open new tab,"<p>In the latest version, sometimes when you open a new tab, it closes on its own and needs to be reopened. </p>",tabs;desktop;firefox-760;windows-10;,firefox,tabs,en-US,1314286;1314318;,vrusaliyski
1287605,2020-05-20 07:38:03 -0800,2020-05-20T13:49:10Z,Search suggestions is enabled but not working?,"<p>I'm having similar issues to described here: <a href=""https://support.mozilla.org/en-US/questions/1090728"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1090728</a> </p><p>The search bar in the ""Awesome bar"" has stopped offering search suggestions, either from my search history or from Google itself. When I control-click in the search bar, ""search suggestions"" has a check next to it, and it is also ticked in the Preferences.  </p><p>This started last week when i migrated to a new iMac. </p><p>I went through all of the troubleshooting steps described in the article above but still no suggestions in the address bar. </p><p>I'd like to continue using Firefox but this is a deal breaker. What can i do? </p>",other;desktop;firefox-760;mac-os;,firefox,other,en-US,1314315;1314340;1314356;1314381;1314388;1314390;1314392;1314403;,chris228
1287602,2020-05-20 07:25:18 -0800,2020-05-20T10:18:58Z,"When switching one from https address to another https address, I get an error message","<p>When switching from <a href=""https://contacts.google.com/label/5bfac7028aa4cb8f"" rel=""nofollow"">https://contacts.google.com/label/5bfac7028aa4cb8f</a> to <a href=""https://contacts.google.com/label/label/4efcae250ec1dd98"" rel=""nofollow"">https://contacts.google.com/label/label/4efcae250ec1dd98</a> I get the error message, ""The requested URL was not found on this server. That’s all we know."" </p>",firefox-680;desktop;fix-problems;linux;,firefox,fix-problems,en-US,1314261;1314326;,WmRobt
